Move Sequence,FEN,Evaluation,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2 c3e1,6k1/pp3pp1/4b2p/4N3/2p5/6P1/P4PKP/3rq3 w - - 3 26,-2500.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2 c3e1 g2f3,6k1/pp3pp1/4b2p/4N3/2p5/5KP1/P4P1P/3rq3 b - - 4 26,-3333.3333333333335,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2 c3e1 g2f3 e1e5,6k1/pp3pp1/4b2p/4q3/2p5/5KP1/P4P1P/3r4 w - - 0 27,-5000.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2 c3e1 g2f3 e1e5 f3g2,6k1/pp3pp1/4b2p/4q3/2p5/6P1/P4PKP/3r4 b - - 1 27,-5000.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2 c3e1 g2f3 e1e5 f3g2 e6d5,6k1/pp3pp1/7p/3bq3/2p5/6P1/P4PKP/3r4 w - - 2 28,-5000.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2 c3e1 g2f3 e1e5 f3g2 e6d5 g2h3,6k1/pp3pp1/7p/3bq3/2p5/6PK/P4P1P/3r4 b - - 3 28,-10000.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0.31,1925,1685,1-0,C00,French Defense: Knight Variation,240+0,Normal
e2e4 e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.27,1925,1685,1-0,C00,French Defense: Knight Variation,240+0,Normal
e2e4 e7e6 g1f3,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,0.13,1925,1685,1-0,C00,French Defense: Knight Variation,240+0,Normal
e2e4 e7e6 g1f3 d7d5,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,0.18,1925,1685,1-0,C00,French Defense: Knight Variation,240+0,Normal
